stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
2,2,A Ave & Chandler,Eastbound stop in Lake Oswego (Stop ID 2),45.420609,-122.675671,B,http://trimet.org/#tracker/stop/2,0,,East,Nearside
4,4,A Ave & 10th St,Westbound stop in Lake Oswego (Stop ID 4),45.420703,-122.675152,B,http://trimet.org/#tracker/stop/4,0,,West,Nearside
6,6,A Ave & 8th St,Eastbound stop in Lake Oswego (Stop ID 6),45.420217,-122.67307,B,http://trimet.org/#tracker/stop/6,0,,East,Nearside
7,7,A Ave & 8th St,Westbound stop in Lake Oswego (Stop ID 7),45.420411,-122.67268,B,http://trimet.org/#tracker/stop/7,0,,West,Nearside
8,8,900 Block Abernethy,Eastbound stop in Oregon City (Stop ID 8),45.363509,-122.593886,B,http://trimet.org/#tracker/stop/8,0,,East,At
9,9,Abernethy & Barclay,Northbound stop in Gladstone (Stop ID 9),45.384645,-122.602873,B,http://trimet.org/#tracker/stop/9,0,,North,Nearside
10,10,Abernethy & Barclay,Southbound stop in Gladstone (Stop ID 10),45.38472,-122.60319,B,http://trimet.org/#tracker/stop/10,0,,South,Opposite
11,11,Abernethy & Beatrice,Eastbound stop in Gladstone (Stop ID 11),45.384046,-122.601099,B,http://trimet.org/#tracker/stop/11,0,,East,Farside
12,12,Abernethy & Center,Westbound stop in Gladstone (Stop ID 12),45.38414,-122.601137,B,http://trimet.org/#tracker/stop/12,0,,West,Nearside
13,13,Abernethy & Duniway,Northbound stop in Gladstone (Stop ID 13),45.385893,-122.604724,B,http://trimet.org/#tracker/stop/13,0,,North,Nearside
14,14,Abernethy & Duniway,Southbound stop in Gladstone (Stop ID 14),45.385908,-122.604963,B,http://trimet.org/#tracker/stop/14,0,,South,Opposite
16,16,Abernethy & Portland Ave,Westbound stop in Gladstone (Stop ID 16),45.384222,-122.598181,B,http://trimet.org/#tracker/stop/16,0,,West,Farside
17,17,Abernethy & Portland Ave,Eastbound stop in Gladstone (Stop ID 17),45.384203,-122.597396,B,http://trimet.org/#tracker/stop/17,0,,East,Nearside
20,20,2800 Block NE 92nd,Northbound stop in Portland (Stop ID 20),45.54267,-122.569774,B,http://trimet.org/#tracker/stop/20,0,,North,At
21,21,2800 Block NE 92nd,Southbound stop in Portland (Stop ID 21),45.543152,-122.570032,B,http://trimet.org/#tracker/stop/21,0,,South,At
25,25,3400 Block NE 92nd,Northbound stop in Portland (Stop ID 25),45.548151,-122.568987,B,http://trimet.org/#tracker/stop/25,0,,North,At
26,26,NE 92nd & Hill,Southbound stop in Portland (Stop ID 26),45.545655,-122.570035,B,http://trimet.org/#tracker/stop/26,0,,South,Nearside
27,27,N Adair & 7th,Westbound stop in Cornelius (Stop ID 27),45.520986,-123.063196,B,http://trimet.org/#tracker/stop/27,0,,West,Farside
28,28,2200 Block Baseline,Westbound stop in Cornelius (Stop ID 28),45.520284,-123.044484,B,http://trimet.org/#tracker/stop/28,0,,West,At
30,30,N Adair & 10th,Westbound stop in Cornelius (Stop ID 30),45.520983,-123.059301,B,http://trimet.org/#tracker/stop/30,0,,West,Nearside
31,31,N Adair & 12th,Westbound stop in Cornelius (Stop ID 31),45.52097,-123.056836,B,http://trimet.org/#tracker/stop/31,0,,West,Nearside
32,32,N Adair & 14th,Westbound stop in Cornelius (Stop ID 32),45.520985,-123.054208,B,http://trimet.org/#tracker/stop/32,0,,West,Nearside
33,33,N Adair & 17th,Westbound stop in Cornelius (Stop ID 33),45.520981,-123.051781,B,http://trimet.org/#tracker/stop/33,0,,West,Farside
34,34,N Adair & 20th,Westbound stop in Cornelius (Stop ID 34),45.52046,-123.047696,B,http://trimet.org/#tracker/stop/34,0,,West,Farside
35,35,N Adair & 4th,Westbound stop in Cornelius (Stop ID 35),45.521026,-123.067234,B,http://trimet.org/#tracker/stop/35,0,,West,Farside
40,40,N Trenton & Alaska,Eastbound stop in Portland (Stop ID 40),45.588572,-122.711693,B,http://trimet.org/#tracker/stop/40,0,,East,Nearside
41,41,N Alaska & Chautauqua,Eastbound stop in Portland (Stop ID 41),45.587746,-122.705606,B,http://trimet.org/#tracker/stop/41,0,,East,Nearside
42,42,N Alaska & Chautauqua Pl,Eastbound stop in Portland (Stop ID 42),45.587769,-122.707831,B,http://trimet.org/#tracker/stop/42,0,,East,Opposite
43,43,N Alaska & Chautauqua Pl,Westbound stop in Portland (Stop ID 43),45.587877,-122.707734,B,http://trimet.org/#tracker/stop/43,0,,West,Nearside
44,44,N Alaska & Foss,Eastbound stop in Portland (Stop ID 44),45.58777,-122.71025,B,http://trimet.org/#tracker/stop/44,0,,East,Opposite
45,45,N Alaska & University Park,Westbound stop in Portland (Stop ID 45),45.587885,-122.710217,B,http://trimet.org/#tracker/stop/45,0,,West,Opposite
46,46,NE Alberta & M L King,Eastbound stop in Portland (Stop ID 46),45.559061,-122.661064,B,http://trimet.org/#tracker/stop/46,0,,East,Farside
48,48,NE Alberta & 11th,Eastbound stop in Portland (Stop ID 48),45.559046,-122.654736,B,http://trimet.org/#tracker/stop/48,0,,East,Nearside
49,49,NE Alberta & 11th,Westbound stop in Portland (Stop ID 49),45.559165,-122.654485,B,http://trimet.org/#tracker/stop/49,0,,West,Nearside
50,50,NE Alberta & 13th,Eastbound stop in Portland (Stop ID 50),45.559046,-122.652745,B,http://trimet.org/#tracker/stop/50,0,,East,Nearside
51,51,NE Alberta & 13th,Westbound stop in Portland (Stop ID 51),45.559153,-122.652531,B,http://trimet.org/#tracker/stop/51,0,,West,Nearside
52,52,NE Alberta & 15th,Eastbound stop in Portland (Stop ID 52),45.559032,-122.649877,B,http://trimet.org/#tracker/stop/52,0,,East,Nearside
53,53,NE Alberta & 15th,Westbound stop in Portland (Stop ID 53),45.559157,-122.649524,B,http://trimet.org/#tracker/stop/53,0,,West,Nearside
54,54,NE Alberta & 18th,Eastbound stop in Portland (Stop ID 54),45.559041,-122.646899,B,http://trimet.org/#tracker/stop/54,0,,East,Nearside
55,55,NE Alberta & 18th,Westbound stop in Portland (Stop ID 55),45.55912,-122.64668,B,http://trimet.org/#tracker/stop/55,0,,West,Nearside
60,60,NE Alberta & 24th,Eastbound stop in Portland (Stop ID 60),45.559009,-122.641042,B,http://trimet.org/#tracker/stop/60,0,,East,Nearside
61,61,NE Alberta & 24th,Westbound stop in Portland (Stop ID 61),45.559117,-122.640805,B,http://trimet.org/#tracker/stop/61,0,,West,Nearside
63,63,NE Alberta & 27th,Eastbound stop in Portland (Stop ID 63),45.559,-122.637997,B,http://trimet.org/#tracker/stop/63,0,,East,Nearside
64,64,NE Alberta & 27th,Westbound stop in Portland (Stop ID 64),45.559091,-122.637779,B,http://trimet.org/#tracker/stop/64,0,,West,Nearside
67,67,SE Alberta & 70th,Eastbound stop in Clackamas Co. (Stop ID 67),45.45854,-122.592013,B,http://trimet.org/#tracker/stop/67,0,,East,Opposite
