service_id,date,exception_type
U.497,20180225,1
U.497,20180218,1
U.497,20180211,1
U.497,20180204,1
U.497,20180128,1
U.497,20180121,1
U.497,20180114,1
U.497,20180107,1
U.497,20171231,1
U.497,20171224,1
U.497,20171217,1
U.497,20171210,1
U.497,20171203,1
W.497,20180302,1
W.497,20180301,1
W.497,20180228,1
W.497,20180227,1
W.497,20180226,1
W.497,20180223,1
W.497,20180222,1
W.497,20180221,1
W.497,20180220,1
W.497,20180219,1
W.497,20180216,1
W.497,20180215,1
W.497,20180214,1
W.497,20180213,1
W.497,20180212,1
W.497,20180209,1
W.497,20180208,1
W.497,20180207,1
W.497,20180206,1
W.497,20180205,1
W.497,20180202,1
W.497,20180201,1
W.497,20180131,1
W.497,20180130,1
W.497,20180129,1
W.497,20180126,1
W.497,20180125,1
W.497,20180124,1
W.497,20180123,1
W.497,20180122,1
W.497,20180119,1
W.497,20180118,1
W.497,20180117,1
W.497,20180116,1
W.497,20180112,1
W.497,20180111,1
W.497,20180110,1
W.497,20180109,1
W.497,20180108,1
W.497,20180105,1
W.497,20180104,1
W.497,20180103,1
W.497,20180102,1
W.497,20171229,1
W.497,20171228,1
W.497,20171227,1
W.497,20171226,1
W.497,20171222,1
W.497,20171221,1
W.497,20171220,1
W.497,20171219,1
W.497,20171218,1
W.497,20171215,1
W.497,20171214,1
W.497,20171213,1
W.497,20171212,1
W.497,20171211,1
W.497,20171208,1
W.497,20171207,1
W.497,20171206,1
W.497,20171205,1
W.497,20171204,1
X.497,20180101,1
X.497,20171225,1
M.497,20180115,1
S.497,20180303,1
S.497,20180224,1
S.497,20180217,1
S.497,20180210,1
S.497,20180203,1
S.497,20180127,1
S.497,20180120,1
S.497,20180113,1
S.497,20180106,1
S.497,20171230,1
S.497,20171223,1
S.497,20171216,1
S.497,20171209,1
A.497,20180302,1
A.497,20180301,1
A.497,20180228,1
A.497,20180227,1
A.497,20180226,1
A.497,20180223,1
A.497,20180222,1
A.497,20180221,1
A.497,20180220,1
A.497,20180219,1
A.497,20180216,1
A.497,20180215,1
A.497,20180214,1
A.497,20180213,1
A.497,20180212,1
A.497,20180209,1
A.497,20180208,1
A.497,20180207,1
A.497,20180206,1
A.497,20180205,1
A.497,20180202,1
A.497,20180201,1
A.497,20180131,1
A.497,20180130,1
A.497,20180129,1
A.497,20180126,1
A.497,20180125,1
A.497,20180124,1
A.497,20180123,1
A.497,20180122,1
A.497,20180119,1
A.497,20180118,1
A.497,20180117,1
A.497,20180116,1
A.497,20180112,1
A.497,20180111,1
A.497,20180110,1
A.497,20180109,1
A.497,20180108,1
A.497,20180105,1
A.497,20180104,1
A.497,20180103,1
A.497,20180102,1
A.497,20171229,1
A.497,20171228,1
A.497,20171227,1
A.497,20171226,1
A.497,20171222,1
A.497,20171221,1
A.497,20171220,1
A.497,20171219,1
A.497,20171218,1
A.497,20171215,1
A.497,20171214,1
A.497,20171213,1
A.497,20171212,1
A.497,20171211,1
A.497,20171208,1
A.497,20171207,1
A.497,20171206,1
A.497,20171205,1
A.497,20171204,1
B.497,20180303,1
B.497,20180224,1
B.497,20180217,1
B.497,20180210,1
B.497,20180203,1
B.497,20180127,1
B.497,20180120,1
B.497,20180113,1
B.497,20180106,1
B.497,20171230,1
B.497,20171223,1
B.497,20171216,1
B.497,20171209,1
P.497,20180302,1
P.497,20180223,1
P.497,20180216,1
P.497,20180209,1
P.497,20180202,1
P.497,20180126,1
P.497,20180119,1
P.497,20180112,1
P.497,20180105,1
P.497,20171229,1
P.497,20171222,1
P.497,20171215,1
P.497,20171208,1
C.497,20180225,1
C.497,20180218,1
C.497,20180211,1
C.497,20180204,1
C.497,20180128,1
C.497,20180121,1
C.497,20180114,1
C.497,20180107,1
C.497,20171224,1
C.497,20171217,1
C.497,20171210,1
C.497,20171203,1
k.497,20180302,1
k.497,20180301,1
k.497,20180228,1
k.497,20180227,1
k.497,20180226,1
k.497,20180223,1
k.497,20180222,1
k.497,20180221,1
k.497,20180220,1
k.497,20180216,1
k.497,20180215,1
k.497,20180214,1
k.497,20180213,1
k.497,20180212,1
k.497,20180209,1
k.497,20180208,1
k.497,20180207,1
k.497,20180206,1
k.497,20180205,1
k.497,20180202,1
k.497,20180201,1
k.497,20180131,1
k.497,20180130,1
k.497,20180126,1
k.497,20180125,1
k.497,20180124,1
k.497,20180123,1
k.497,20180122,1
k.497,20180119,1
k.497,20180118,1
k.497,20180117,1
k.497,20180116,1
k.497,20180112,1
k.497,20180111,1
k.497,20180110,1
k.497,20180109,1
k.497,20180108,1
k.497,20180105,1
k.497,20180104,1
k.497,20180103,1
k.497,20180102,1
k.497,20171215,1
k.497,20171214,1
k.497,20171213,1
k.497,20171212,1
k.497,20171211,1
k.497,20171208,1
k.497,20171207,1
k.497,20171206,1
k.497,20171205,1
k.497,20171204,1
