route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order
1,TRIMET,1,Vermont,3,http://trimet.org//schedules/r001.htm,,,400
4,TRIMET,4,Division/Fessenden,3,http://trimet.org//schedules/r004.htm,,,600
6,TRIMET,6,Martin Luther King Jr Blvd,3,http://trimet.org//schedules/r006.htm,,,800
8,TRIMET,8,Jackson Park/NE 15th,3,http://trimet.org//schedules/r008.htm,,,1000
9,TRIMET,9,Powell Blvd,3,http://trimet.org//schedules/r009.htm,,,1100
10,TRIMET,10,Harold St,3,http://trimet.org//schedules/r010.htm,,,1300
11,TRIMET,11,Rivergate/Marine Dr,3,http://trimet.org//schedules/r011.htm,,,1400
12,TRIMET,12,Barbur/Sandy Blvd,3,http://trimet.org//schedules/r012.htm,,,1500
14,TRIMET,14,Hawthorne,3,http://trimet.org//schedules/r014.htm,,,1700
15,TRIMET,15,Belmont/NW 23rd,3,http://trimet.org//schedules/r015.htm,,,1800
16,TRIMET,16,Front Ave/St Helens Rd,3,http://trimet.org//schedules/r016.htm,,,1900
17,TRIMET,17,Holgate/Broadway,3,http://trimet.org//schedules/r017.htm,,,2000
18,TRIMET,18,Hillside,3,http://trimet.org//schedules/r018.htm,,,2300
19,TRIMET,19,Woodstock/Glisan,3,http://trimet.org//schedules/r019.htm,,,2400
20,TRIMET,20,Burnside/Stark,3,http://trimet.org//schedules/r020.htm,,,2600
21,TRIMET,21,Sandy Blvd/223rd,3,http://trimet.org//schedules/r021.htm,,,2650
22,TRIMET,22,Parkrose,3,http://trimet.org//schedules/r022.htm,,,2700
23,TRIMET,23,San Rafael,3,http://trimet.org//schedules/r023.htm,,,2800
24,TRIMET,24,Fremont,3,http://trimet.org//schedules/r024.htm,,,2850
25,TRIMET,25,Glisan/Rockwood,3,http://trimet.org//schedules/r025.htm,,,2900
29,TRIMET,29,Lake/Webster Rd,3,http://trimet.org//schedules/r029.htm,,,3200
30,TRIMET,30,Estacada,3,http://trimet.org//schedules/r030.htm,,,3250
32,TRIMET,32,Oatfield,3,http://trimet.org//schedules/r032.htm,,,3400
33,TRIMET,33,McLoughlin/King Rd,3,http://trimet.org//schedules/r033.htm,,,3500
34,TRIMET,34,Linwood/River Rd,3,http://trimet.org//schedules/r034.htm,,,3600
35,TRIMET,35,Macadam/Greeley,3,http://trimet.org//schedules/r035.htm,,,3750
36,TRIMET,36,South Shore,3,http://trimet.org//schedules/r036.htm,,,3900
37,TRIMET,37,Lake Grove,3,http://trimet.org//schedules/r037.htm,,,4000
38,TRIMET,38,Boones Ferry Rd,3,http://trimet.org//schedules/r038.htm,,,4100
39,TRIMET,39,Lewis & Clark,3,http://trimet.org//schedules/r039.htm,,,4200
43,TRIMET,43,Taylors Ferry Rd,3,http://trimet.org//schedules/r043.htm,,,4500
44,TRIMET,44,Capitol Hwy/Mocks Crest,3,http://trimet.org//schedules/r044.htm,,,4650
45,TRIMET,45,Garden Home,3,http://trimet.org//schedules/r045.htm,,,4700
46,TRIMET,46,North Hillsboro,3,http://trimet.org//schedules/r046.htm,,,4800
47,TRIMET,47,Main/Evergreen,3,http://trimet.org//schedules/r047.htm,,,4900
48,TRIMET,48,Cornell,3,http://trimet.org//schedules/r048.htm,,,5000
50,TRIMET,50,Cedar Mill,3,http://trimet.org//schedules/r050.htm,,,5200
51,TRIMET,51,Vista,3,http://trimet.org//schedules/r051.htm,,,5300
52,TRIMET,52,Farmington/185th,3,http://trimet.org//schedules/r052.htm,,,5400
53,TRIMET,53,Arctic/Allen,3,http://trimet.org//schedules/r053.htm,,,5500
54,TRIMET,54,Beaverton-Hillsdale Hwy,3,http://trimet.org//schedules/r054.htm,,,5600
55,TRIMET,55,Hamilton,3,http://trimet.org//schedules/r055.htm,,,5700
56,TRIMET,56,Scholls Ferry Rd,3,http://trimet.org//schedules/r056.htm,,,5800
57,TRIMET,57,TV Hwy/Forest Grove,3,http://trimet.org//schedules/r057.htm,,,5900
58,TRIMET,58,Canyon Rd,3,http://trimet.org//schedules/r058.htm,,,6000
59,TRIMET,59,Walker/Park Way,3,http://trimet.org//schedules/r059.htm,,,6100
61,TRIMET,61,Marquam Hill/Beaverton,3,http://trimet.org//schedules/r061.htm,,,6300
62,TRIMET,62,Murray Blvd,3,http://trimet.org//schedules/r062.htm,,,6400
63,TRIMET,63,Washington Park/Arlington Hts,3,http://trimet.org//schedules/r063.htm,,,6500
64,TRIMET,64,Marquam Hill/Tigard,3,http://trimet.org//schedules/r064.htm,,,6600
65,TRIMET,65,Marquam Hill/Barbur Blvd,3,http://trimet.org//schedules/r065.htm,,,6700
66,TRIMET,66,Marquam Hill/Hollywood,3,http://trimet.org//schedules/r066.htm,,,6800
67,TRIMET,67,Bethany/158th,3,http://trimet.org//schedules/r067.htm,,,6900
68,TRIMET,68,Marquam Hill/Collins Circle,3,http://trimet.org//schedules/r068.htm,,,7000
70,TRIMET,70,12th/NE 33rd Ave,3,http://trimet.org//schedules/r070.htm,,,7100
71,TRIMET,71,60th Ave,3,http://trimet.org//schedules/r071.htm,,,7200
72,TRIMET,72,Killingsworth/82nd Ave,3,http://trimet.org//schedules/r072.htm,,,7300
73,TRIMET,73,122nd Ave,3,http://trimet.org//schedules/r073.htm,,,7400
75,TRIMET,75,Cesar Chavez/Lombard,3,http://trimet.org//schedules/r075.htm,,,7500
76,TRIMET,76,Beaverton/Tualatin,3,http://trimet.org//schedules/r076.htm,,,7600
77,TRIMET,77,Broadway/Halsey,3,http://trimet.org//schedules/r077.htm,,,7700
78,TRIMET,78,Beaverton/Lake Oswego,3,http://trimet.org//schedules/r078.htm,,,7800
79,TRIMET,79,Clackamas/Oregon City,3,http://trimet.org//schedules/r079.htm,,,7900
80,TRIMET,80,Kane/Troutdale Rd,3,http://trimet.org//schedules/r080.htm,,,8000
81,TRIMET,81,Kane/257th,3,http://trimet.org//schedules/r081.htm,,,8100
84,TRIMET,84,Powell Valley/Orient Dr,3,http://trimet.org//schedules/r084.htm,,,8400
85,TRIMET,85,Swan Island,3,http://trimet.org//schedules/r085.htm,,,8500
87,TRIMET,87,Airport Way/181st,3,http://trimet.org//schedules/r087.htm,,,8600
88,TRIMET,88,Hart/198th,3,http://trimet.org//schedules/r088.htm,,,8700
90,TRIMET,,MAX Red Line,0,http://trimet.org//schedules/r090.htm,D81526,FFFFFF,120
92,TRIMET,92,South Beaverton Express,3,http://trimet.org//schedules/r092.htm,,,8900
93,TRIMET,93,Tigard/Sherwood,3,http://trimet.org//schedules/r093.htm,,,9000
94,TRIMET,94,Pacific Hwy/Sherwood,3,http://trimet.org//schedules/r094.htm,,,9100
96,TRIMET,96,Tualatin/I-5,3,http://trimet.org//schedules/r096.htm,,,9200
97,TRIMET,97,Tualatin-Sherwood Rd,3,http://trimet.org//schedules/r097.htm,,,9250
99,TRIMET,99,Macadam/McLoughlin,3,http://trimet.org//schedules/r099.htm,,,9300
100,TRIMET,,MAX Blue Line,0,http://trimet.org//schedules/r100.htm,084C8D,FFFFFF,100
152,TRIMET,152,Milwaukie,3,http://trimet.org//schedules/r152.htm,,,9400
154,TRIMET,154,Willamette/Clackamas Heights,3,http://trimet.org//schedules/r154.htm,,,9500
155,TRIMET,155,Sunnyside,3,http://trimet.org//schedules/r155.htm,,,9600
156,TRIMET,156,Mather Rd,3,http://trimet.org//schedules/r156.htm,,,9700
190,TRIMET,,MAX Yellow Line,0,http://trimet.org//schedules/r190.htm,F8C213,000000,130
193,PSC,,Portland Streetcar - NS Line,0,http://portlandstreetcar.org/,84BD00,FFFFFF,200
194,PSC,,Portland Streetcar - A Loop,0,http://portlandstreetcar.org/,CE0F69,FFFFFF,250
195,PSC,,Portland Streetcar - B Loop,0,http://portlandstreetcar.org/,0093B2,FFFFFF,275
200,TRIMET,,MAX Green Line,0,http://trimet.org//schedules/r200.htm,008852,FFFFFF,110
203,TRIMET,,WES Commuter Rail,2,http://trimet.org//schedules/r203.htm,,,150
208,TRAM,,Portland Aerial Tram,6,http://www.gobytram.com/,,,300
290,TRIMET,,MAX Orange Line,0,http://trimet.org//schedules/r290.htm,F58220,000000,115
291,TRIMET,291,Orange Night Bus,3,http://trimet.org//schedules/r291.htm,,,9850
