stop_id,feature_type,feature_name
2,6000,Pavement at back door
2,6000,Schedule display
2,6000,Crosswalk near stop
2,6000,Curb ramp near stop
2,6000,Pavement at front door
2,6000,Sidewalk at stop
4,6000,Pavement at back door
4,6000,Schedule display
4,6000,Crosswalk near stop
4,6000,Curb ramp near stop
4,6000,Pavement at front door
4,6000,Sidewalk at stop
6,6000,Pavement at back door
6,6000,Schedule display
6,6000,Crosswalk near stop
6,6000,Curb ramp near stop
6,6000,Pavement at front door
6,6000,Sidewalk at stop
6,6000,Traffic signal
7,6000,Pavement at back door
7,6000,Schedule display
7,6000,Crosswalk near stop
7,6000,Curb ramp near stop
7,6000,Pavement at front door
7,6000,Lighting at stop
7,6000,Sidewalk at stop
7,6000,Traffic signal
8,6000,Pavement at back door
8,6000,Schedule display
8,6000,Curb ramp near stop
8,6000,Pavement at front door
8,6000,Lighting at stop
8,6000,Sidewalk at stop
9,6000,Schedule display
9,6000,Curb ramp near stop
9,6000,Pavement at front door
9,6000,Lighting at stop
9,6000,Sidewalk at stop
10,6000,Schedule display
10,6000,Curb ramp near stop
10,6000,Lighting at stop
10,6000,Sidewalk at stop
11,6000,Schedule display
11,6000,Curb ramp near stop
11,6000,Pavement at front door
11,6000,Lighting at stop
11,6000,Sidewalk at stop
12,6000,Schedule display
12,6000,Curb ramp near stop
12,6000,Pavement at front door
12,6000,Lighting at stop
12,6000,Sidewalk at stop
13,6000,Schedule display
13,6000,Curb ramp near stop
13,6000,Pavement at front door
13,6000,Lighting at stop
13,6000,Sidewalk at stop
14,6000,Schedule display
14,6000,Curb ramp near stop
14,6000,Pavement at front door
14,6000,Lighting at stop
14,6000,Sidewalk at stop
16,6000,Pavement at back door
16,6000,Schedule display
16,6000,Crosswalk near stop
16,6000,Curb ramp near stop
16,6000,Pavement at front door
16,6000,Lighting at stop
16,6000,Sidewalk at stop
17,6000,Pavement at back door
17,6000,Schedule display
17,6000,Bench near stop
17,6000,Crosswalk near stop
17,6000,Curb ramp near stop
17,6000,Pavement at front door
17,6000,Sidewalk at stop
17,6000,Garbage Can
20,6000,Schedule display
20,6000,Lighting at stop
21,6000,Schedule display
21,6000,Lighting at stop
25,6000,Schedule display
25,6000,Lighting at stop
26,6000,Schedule display
26,6000,Lighting at stop
27,6000,Pavement at back door
27,6000,Schedule display
27,6000,Curb ramp near stop
27,6000,Pavement at front door
27,6000,Lighting at stop
27,6000,Sidewalk at stop
27,6000,Garbage Can
28,6000,Pavement at back door
28,6000,Schedule display
28,6000,Bench near stop
28,6000,Crosswalk near stop
28,6000,Curb ramp near stop
28,6000,Pavement at front door
28,6000,Lighting at stop
28,6000,Shelter
28,6000,Sidewalk at stop
28,6000,Traffic signal
30,6000,Pavement at back door
30,6000,Schedule display
30,6000,Crosswalk near stop
30,6000,Curb ramp near stop
30,6000,Pavement at front door
30,6000,Lighting at stop
30,6000,Sidewalk at stop
30,6000,Garbage Can
30,6000,Traffic signal
31,6000,Pavement at back door
31,6000,Schedule display
31,6000,Bench near stop
31,6000,Curb ramp near stop
31,6000,Pavement at front door
31,6000,Lighting at stop
31,6000,Sidewalk at stop
31,6000,Garbage Can
32,6000,Pavement at back door
32,6000,Schedule display
32,6000,Bench near stop
32,6000,Crosswalk near stop
32,6000,Curb ramp near stop
32,6000,Pavement at front door
32,6000,Lighting at stop
32,6000,Shelter
32,6000,Sidewalk at stop
32,6000,Garbage Can
32,6000,Traffic signal
33,6000,Pavement at back door
33,6000,Schedule display
33,6000,Bench near stop
33,6000,Pavement at front door
33,6000,Sidewalk at stop
34,6000,Pavement at back door
34,6000,Schedule display
34,6000,Bench near stop
34,6000,Crosswalk near stop
34,6000,Curb ramp near stop
34,6000,Pavement at front door
