from_stop_id,to_stop_id,transfer_type
46,5889,0
46,5890,0
52,6773,0
52,6774,0
53,6773,0
53,6774,0
63,7237,0
63,7238,0
64,7237,0
64,7238,0
88,3153,0
88,3154,0
89,3153,0
89,3154,0
90,3452,0
90,3453,0
91,4455,0
91,8814,0
92,4455,0
92,8814,0
93,3452,0
93,3453,0
102,103,0
102,2266,0
102,2267,0
103,102,0
103,2266,0
103,2267,0
115,115,0
135,10328,0
136,136,0
136,137,0
136,4456,0
137,136,0
137,4456,0
142,142,0
142,143,0
142,6474,0
142,6475,0
142,9397,0
143,142,0
143,143,0
143,6474,0
143,6475,0
143,8770,3
143,9397,0
146,146,0
168,168,0
168,923,0
168,10952,0
170,7047,0
172,172,0
172,173,0
172,1140,0
172,1141,0
173,172,0
173,173,0
173,1140,0
173,1141,0
191,191,0
191,193,0
193,191,0
193,193,0
199,199,0
199,10848,0
199,11211,0
202,7036,0
202,7047,0
212,212,0
212,8213,0
310,310,0
310,4125,0
310,6502,0
316,316,0
341,341,0
348,348,0
348,5172,0
348,5184,0
348,5194,0
350,350,0
350,5172,0
350,5194,0
352,352,0
385,385,0
385,386,0
400,6542,0
400,6588,0
427,7437,0
427,7438,0
428,7437,0
428,7438,0
450,7812,0
450,7813,0
451,7812,0
451,7813,0
536,536,0
536,564,0
564,536,0
564,564,0
605,2165,0
605,13609,0
605,13617,0
616,2580,0
616,7602,0
616,7616,0
616,7618,0
616,10766,0
616,11011,0
622,2165,0
622,5897,0
625,1997,0
625,7763,0
627,6009,0
627,6357,0
631,6779,0
631,6843,0
634,634,0
634,7138,0
634,7139,0
635,635,0
635,7188,0
644,644,0
644,7392,0
654,7588,0
689,689,0
704,704,0
704,2167,0
704,5901,0
718,718,0
735,735,0
735,6911,0
735,9122,0
735,9757,0
735,9758,0
735,9860,0
735,13918,0
755,755,0
770,7440,0
770,7441,0
771,7440,0
771,7441,0
782,792,0
782,7631,0
782,7751,0
782,7782,0
782,7787,0
782,9303,0
782,13170,0
782,13171,0
792,782,0
792,792,0
792,7751,0
792,7782,0
792,7787,0
792,13170,0
793,7814,0
793,7815,0
794,7814,0
794,7815,0
813,7936,0
813,7937,0
814,7936,0
